Order ID,Order Date,Customer ID,Age,Gender,Segment,Region,City,Product Category,Sub-Category,Product Name,Unit Price,Quantity,Discount,Sales,Profit
ORD-006979,2023-07-18,CUST-00164,27.0,Male,Consumer,Central,Chester,Beauty & Personal Care,Grooming,Grooming - Model A,57.95,1,0.0,57.95,14.52
ORD-027428,2024-10-18,CUST-02152,47.0,Female,Consumer,East,Bristol,Beauty & Personal Care,Fragrances,Fragrances - Model B,100.38,1,0.1,90.34,20.84
ORD-029982,2024-11-29,CUST-01780,57.0,Female,Consumer,North,Fairview,Electronics,Tablets,Tablets - Model D,528.04,2,0.0,1056.08,359.15
ORD-031938,2024-12-21,CUST-01242,24.0,Male,Corporate,West,Fairfax,Home & Kitchen,Storage,Storage - Model C,196.39,2,0.0,392.78,130.72
ORD-016869,2024-02-15,CUST-00665,36.0,Female,Corporate,South,Georgetown,Beauty & Personal Care,Fragrances,Fragrances - Model A,5.58,1,0.0,5.58,1.72
ORD-029140,2024-11-18,CUST-00297,41.0,Male,Corporate,North,Riverton,Groceries,Snacks,Snacks - Model B,9.81,1,0.0,9.81,2.6
ORD-012842,2023-11-27,CUST-01940,27.0,Female,Corporate,Central,Franklin,Sports & Outdoors,Cycling,Cycling - Model C,107.81,2,0.05,204.84,74.57
ORD-011296,2023-11-03,CUST-01318,42.0,Female,Corporate,South,Georgetown,Apparel,Men's Shirts,Men's Shirts - Model D,154.67,2,0.0,309.34,131.5
ORD-016701,2024-02-10,CUST-01651,31.0,Female,Consumer,North,Riverton,Home & Kitchen,Decor,Decor - Model D,93.44,1,0.0,93.44,35.3
ORD-032240,2024-12-26,CUST-02331,,Female,Consumer,South,Georgetown,Electronics,Smartphones,Smartphones - Model B,752.22,2,0.0,1504.44,562.07
ORD-002862,2023-04-01,CUST-01487,49.0,Female,Small Business,North,Fairview,Beauty & Personal Care,Grooming,Grooming - Model B,101.43,1,0.05,96.36,32.15
ORD-036255,2025-03-30,CUST-00642,47.0,Female,Small Business,West,Fairfax,Sports & Outdoors,Cycling,Cycling - Model A,371.18,3,0.0,1113.54,443.93
ORD-000178,2023-01-07,CUST-00192,35.0,Female,Consumer,South,Georgetown,Beauty & Personal Care,Haircare,Haircare - Model A,119.3,1,0.1,107.37,24.09
ORD-024776,2024-08-20,CUST-00473,34.0,Male,Small Business,Central,Dover,Sports & Outdoors,Sportswear,Sportswear - Model B,201.03,3,0.3,422.16,19.15
ORD-037372,2025-04-24,CUST-00623,41.0,Female,Corporate,Central,Franklin,Apparel,Jeans,Jeans - Model A,130.59,1,0.0,130.59,39.8
ORD-015079,2023-12-29,CUST-02107,,Female,Consumer,Central,Franklin,Home & Kitchen,Furniture,Furniture - Model B,410.35,2,0.15,697.6,243.47
ORD-006681,2023-07-11,CUST-01178,39.0,Male,Consumer,West,Marion,Home & Kitchen,Furniture,Furniture - Model B,351.44,1,0.0,351.44,148.33
ORD-026516,2024-09-28,CUST-02435,34.0,Female,Small Business,East,Bristol,Home & Kitchen,Decor,Decor - Model D,182.68,4,0.0,730.72,212.29
ORD-031552,2024-12-15,CUST-02169,28.0,Female,Corporate,North,Springfield,Sports & Outdoors,Sportswear,Sportswear - Model B,17.69,1,0.0,17.69,5.6
ORD-036050,2025-03-26,CUST-02019,45.0,Male,Corporate,East,Salem,Sports & Outdoors,Sportswear,Sportswear - Model A,16.22,2,0.0,32.44,8.66
ORD-020224,2024-05-11,CUST-00538,52.0,Other,Consumer,Central,Dover,Home & Kitchen,Furniture,Furniture - Model A,82.91,1,0.1,74.62,22.82
ORD-032058,2024-12-22,CUST-01423,43.0,Male,Consumer,Central,Chester,Home & Kitchen,Small Appliances,Small Appliances - Model C,106.87,1,0.0,106.87,46.8
ORD-034843,2025-02-27,CUST-01704,18.0,Female,Consumer,West,Fairfax,Sports & Outdoors,Cycling,Cycling - Model D,210.18,1,0.0,210.18,66.28
ORD-006515,2023-07-07,CUST-02396,22.0,Male,Consumer,Central,Franklin,Electronics,Laptops,Laptops - Model C,238.63,1,0.1,214.77,71.79
ORD-010173,2023-10-07,CUST-00883,23.0,Female,Corporate,East,Clinton,Beauty & Personal Care,Makeup,Makeup - Model D,5.4,1,0.0,5.4,2.28
ORD-014749,2023-12-23,CUST-01243,59.0,Female,Consumer,South,Greenville,Apparel,Women's Dresses,Women's Dresses - Model D,100.68,2,0.0,201.36,89.47
ORD-023144,2024-07-13,CUST-00434,18.0,Male,Corporate,North,Riverton,Sports & Outdoors,Yoga,Yoga - Model A,185.05,2,0.0,370.1,112.88
ORD-027996,2024-10-30,CUST-01327,41.0,Male,Corporate,West,Ashland,Home & Kitchen,Bedding,Bedding - Model B,132.36,1,0.05,125.74,26.73
ORD-031970,2024-12-21,CUST-00809,33.0,Female,Corporate,West,Fairfax,Electronics,Laptops,Laptops - Model D,786.62,1,0.05,747.29,167.47
ORD-023649,2024-07-25,CUST-01606,55.0,Female,Small Business,Central,Dover,Home & Kitchen,Cookware,Cookware - Model A,141.62,2,0.0,283.24,75.48
ORD-022202,2024-06-23,CUST-02122,38.0,Female,Small Business,East,Bristol,Apparel,Jackets,Jackets - Model A,120.26,2,0.0,240.52,91.85
ORD-036426,2025-04-03,CUST-01011,21.0,Male,Consumer,North,Riverton,Electronics,Cameras,Cameras - Model D,839.64,1,0.0,839.64,273.0
ORD-020999,2024-05-29,CUST-02120,48.0,Female,Consumer,West,Ashland,Home & Kitchen,Storage,Storage - Model A,132.14,1,0.0,132.14,34.89
ORD-028071,2024-11-01,CUST-01793,41.0,Male,Consumer,Central,Franklin,Electronics,Smartphones,Smartphones - Model A,740.86,4,0.0,2963.44,1278.03
ORD-012474,2023-11-24,CUST-00994,55.0,Male,Consumer,Central,Franklin,Home & Kitchen,Bedding,Bedding - Model B,362.71,1,0.0,362.71,103.9
ORD-022854,2024-07-07,CUST-00235,28.0,Male,Consumer,West,Fairfax,Groceries,Snacks,Snacks - Model A,46.47,4,0.0,185.88,72.01
ORD-032908,2025-01-06,CUST-00472,32.0,Male,Consumer,East,Bristol,Home & Kitchen,Cookware,Cookware - Model B,49.77,2,0.0,99.54,31.54
ORD-039275,2025-05-31,CUST-01639,38.0,Female,Consumer,East,Bristol,Beauty & Personal Care,Haircare,Haircare - Model D,17.61,2,0.0,35.22,14.29
ORD-038353,2025-05-13,CUST-00723,18.0,Female,Corporate,East,Salem,Electronics,Tablets,Tablets - Model C,150.5,1,0.0,150.5,57.84
ORD-031473,2024-12-14,CUST-01079,30.0,Male,Consumer,North,Springfield,Home & Kitchen,Cookware,Cookware - Model D,285.24,2,0.05,541.96,176.4
ORD-003822,2023-04-28,CUST-02298,28.0,Female,Consumer,East,Clinton,Apparel,Jeans,Jeans - Model C,112.0,1,0.0,112.0,38.79
ORD-001597,2023-02-22,CUST-01009,47.0,Other,Consumer,North,Riverton,Sports & Outdoors,Cycling,Cycling - Model D,23.28,1,0.05,22.12,8.92
ORD-020005,2024-05-05,CUST-00499,18.0,Male,Corporate,West,Ashland,Apparel,Activewear,Activewear - Model B,166.86,1,0.0,166.86,73.1
ORD-023183,2024-07-14,CUST-01380,57.0,Female,Consumer,North,Springfield,Beauty & Personal Care,Haircare,Haircare - Model D,49.95,2,0.0,99.9,33.01
ORD-027413,2024-10-18,CUST-00348,45.0,Other,Consumer,North,Fairview,Electronics,Cameras,Cameras - Model A,766.57,2,0.0,1533.14,669.65
ORD-016668,2024-02-10,CUST-00911,28.0,Male,Corporate,East,Salem,Electronics,Cameras,Cameras - Model B,249.02,3,0.1,672.35,177.86
ORD-039218,2025-05-30,CUST-01172,18.0,Female,Consumer,South,Georgetown,Home & Kitchen,Decor,Decor - Model D,172.7,3,0.0,518.1,149.17
ORD-013679,2023-12-05,CUST-02486,36.0,Female,Consumer,North,Riverton,Electronics,Laptops,Laptops - Model D,1156.62,1,0.0,1156.62,439.2
ORD-027769,2024-10-26,CUST-01590,32.0,Female,Consumer,Central,Chester,Apparel,Men's Shirts,Men's Shirts - Model C,54.16,3,0.05,154.36,50.28
ORD-040628,2025-06-26,CUST-00528,39.0,Male,Corporate,East,Salem,Home & Kitchen,Storage,Storage - Model C,286.52,1,0.0,286.52,89.77
ORD-026137,2024-09-20,CUST-01320,53.0,Female,Consumer,North,Springfield,Apparel,Women's Dresses,Women's Dresses - Model D,173.01,1,0.05,164.36,51.21
ORD-040092,2025-06-15,CUST-00421,39.0,Male,Consumer,Central,Franklin,Home & Kitchen,Small Appliances,Small Appliances - Model D,305.22,1,0.05,289.96,116.56
ORD-016521,2024-02-05,CUST-00384,21.0,Female,Consumer,West,Ashland,Sports & Outdoors,Camping Gear,Camping Gear - Model C,410.56,4,0.0,1642.24,622.04
ORD-023357,2024-07-18,CUST-00592,41.0,Male,Consumer,Central,Chester,Sports & Outdoors,Sportswear,Sportswear - Model A,247.73,1,0.0,247.73,103.97
ORD-035238,2025-03-08,CUST-00176,40.0,Female,Small Business,West,Fairfax,Apparel,Footwear,Footwear - Model C,106.8,2,0.0,213.6,71.81
ORD-012194,2023-11-18,CUST-02494,28.0,Other,Consumer,North,Riverton,Sports & Outdoors,Fitness Equipment,Fitness Equipment - Model C,261.36,1,0.05,248.29,78.44
ORD-026346,2024-09-25,CUST-00253,60.0,Female,Consumer,East,Bristol,Beauty & Personal Care,Skincare,Skincare - Model D,53.6,1,0.1,48.24,10.97
ORD-035453,2025-03-12,CUST-00980,43.0,Male,Small Business,South,Madison,Apparel,Activewear,Activewear - Model D,60.71,1,0.0,60.71,25.21
ORD-022215,2024-06-24,CUST-00442,42.0,Female,Consumer,South,Georgetown,Apparel,Men's Shirts,Men's Shirts - Model D,151.0,1,0.15,128.35,38.52
ORD-004893,2023-05-26,CUST-01710,35.0,Male,Corporate,West,Ashland,Apparel,Women's Dresses,Women's Dresses - Model B,177.22,1,0.2,141.78,22.43
ORD-032722,2025-01-01,CUST-01947,28.0,Male,Consumer,West,Fairfax,Electronics,Tablets,Tablets - Model D,1194.8,1,0.0,1194.8,302.02
ORD-023423,2024-07-20,CUST-01662,23.0,Female,Corporate,Central,Chester,Apparel,Jeans,Jeans - Model B,100.94,2,0.0,201.88,52.63
ORD-007622,2023-08-04,CUST-01990,20.0,Female,Small Business,West,Fairfax,Groceries,Beverages,Beverages - Model D,19.83,1,0.1,17.85,3.58
ORD-010443,2023-10-13,CUST-01417,66.0,Male,Small Business,Central,Chester,Sports & Outdoors,Yoga,Yoga - Model D,137.63,1,0.0,137.63,51.61
ORD-010571,2023-10-16,CUST-01995,39.0,Female,Small Business,East,Bristol,Beauty & Personal Care,Makeup,Makeup - Model B,66.44,3,0.0,199.32,77.75
ORD-019634,2024-04-27,CUST-02299,31.0,Female,Consumer,North,Fairview,Home & Kitchen,Small Appliances,Small Appliances - Model B,266.9,1,0.0,266.9,67.95
ORD-012632,2023-11-25,CUST-01244,31.0,Female,Small Business,East,Salem,Electronics,Laptops,Laptops - Model A,932.58,2,0.0,1865.16,672.77
ORD-016236,2024-01-27,CUST-01158,57.0,Male,Consumer,South,Madison,Beauty & Personal Care,Haircare,Haircare - Model A,49.43,1,0.1,44.49,10.01
ORD-018774,2024-04-06,CUST-02034,32.0,Male,Consumer,Central,Chester,Sports & Outdoors,Camping Gear,Camping Gear - Model D,233.38,1,0.0,233.38,67.11
ORD-026238,2024-09-22,CUST-01456,36.0,Female,Consumer,East,Salem,Apparel,Activewear,Activewear - Model A,36.77,1,0.0,36.77,16.37
ORD-003496,2023-04-19,CUST-01948,26.0,Female,Consumer,South,Georgetown,Apparel,Men's Shirts,Men's Shirts - Model C,44.56,1,0.0,44.56,20.02
ORD-002987,2023-04-05,CUST-01732,37.0,Female,Corporate,Central,Dover,Home & Kitchen,Decor,Decor - Model C,358.55,1,0.05,340.62,114.3
ORD-015328,2024-01-02,CUST-00340,45.0,Female,Consumer,South,Greenville,Electronics,Headphones,Headphones - Model B,433.56,1,0.0,433.56,187.08
ORD-000512,2023-01-16,CUST-00993,61.0,Female,Consumer,Central,Franklin,Groceries,Snacks,Snacks - Model C,28.2,1,0.2,22.56,4.32
ORD-018401,2024-03-29,CUST-01436,36.0,Female,Corporate,West,Ashland,Electronics,Cameras,Cameras - Model D,609.39,1,0.0,609.39,250.21
ORD-009948,2023-10-02,CUST-00992,57.0,Other,Consumer,West,Ashland,Home & Kitchen,Furniture,Furniture - Model C,12.06,2,0.0,24.12,6.43
ORD-037528,2025-04-27,CUST-01789,41.0,Male,Consumer,Central,Chester,Electronics,Smartphones,Smartphones - Model C,991.49,3,0.0,2974.47,1003.46
ORD-037289,2025-04-22,CUST-00566,47.0,Female,Consumer,West,Ashland,Beauty & Personal Care,Makeup,Makeup - Model A,48.47,2,0.2,77.55,13.8
ORD-033261,2025-01-15,CUST-01194,47.0,Female,Consumer,East,Salem,Groceries,Snacks,Snacks - Model B,44.87,3,0.0,134.61,51.29
ORD-040456,2025-06-22,CUST-01133,29.0,Male,Corporate,Central,Franklin,Beauty & Personal Care,Makeup,Makeup - Model C,109.38,3,0.0,328.14,118.84
ORD-011019,2023-10-28,CUST-01013,31.0,Male,Consumer,North,Springfield,Apparel,Jackets,Jackets - Model C,172.15,1,0.0,172.15,43.1
ORD-003393,2023-04-16,CUST-01891,51.0,Female,Corporate,Central,Dover,Apparel,Women's Dresses,Women's Dresses - Model A,15.52,2,0.0,31.04,12.96
ORD-034240,2025-02-10,CUST-01965,28.0,Female,Small Business,West,Ashland,Sports & Outdoors,Yoga,Yoga - Model D,206.53,1,0.1,185.88,54.48
ORD-038580,2025-05-17,CUST-01515,18.0,Female,Corporate,North,Fairview,Home & Kitchen,Storage,Storage - Model D,222.4,1,0.1,200.16,54.6
ORD-029479,2024-11-24,CUST-01549,45.0,Male,Corporate,South,Greenville,Beauty & Personal Care,Makeup,Makeup - Model C,78.46,1,0.2,62.77,9.9
ORD-011719,2023-11-10,CUST-00527,,Male,Consumer,West,Fairfax,Groceries,Household Supplies,Household Supplies - Model D,43.09,1,0.0,43.09,13.44
ORD-012620,2023-11-25,CUST-00112,,Female,Corporate,West,Ashland,Sports & Outdoors,Cycling,Cycling - Model A,104.27,1,0.0,104.27,41.71
ORD-008811,2023-09-02,CUST-00151,35.0,Male,Consumer,East,Bristol,Electronics,Tablets,Tablets - Model B,584.95,1,0.0,584.95,172.26
ORD-013661,2023-12-05,CUST-00132,20.0,Male,Consumer,West,Marion,Home & Kitchen,Bedding,Bedding - Model B,277.36,3,0.05,790.48,226.03
ORD-005480,2023-06-10,CUST-01167,69.0,Male,Consumer,South,Georgetown,Electronics,Smartphones,Smartphones - Model D,893.6,4,0.15,3038.24,764.76
ORD-034344,2025-02-13,CUST-01196,63.0,Male,Consumer,Central,Chester,Electronics,Cameras,Cameras - Model C,1035.77,4,0.0,4143.08,1616.27
ORD-005683,2023-06-15,CUST-00567,35.0,Female,Corporate,South,Georgetown,Home & Kitchen,Decor,Decor - Model D,153.09,1,0.0,153.09,63.28
ORD-025263,2024-08-30,CUST-00304,33.0,Female,Corporate,East,Salem,Sports & Outdoors,Fitness Equipment,Fitness Equipment - Model D,85.6,2,0.1,154.08,29.53
ORD-013165,2023-12-01,CUST-00043,29.0,Male,Corporate,West,Ashland,Groceries,Snacks,Snacks - Model C,28.66,3,0.0,85.98,30.99
ORD-016494,2024-02-04,CUST-01131,26.0,Female,Corporate,Central,Dover,Apparel,Jackets,Jackets - Model D,21.03,1,0.0,21.03,7.42
ORD-035259,2025-03-08,CUST-00110,18.0,Male,Corporate,West,Fairfax,Groceries,Household Supplies,Household Supplies - Model C,35.75,1,0.0,35.75,9.77
ORD-037833,2025-05-03,CUST-01607,44.0,Male,Consumer,North,Springfield,Apparel,Activewear,Activewear - Model D,34.49,1,0.0,34.49,13.84
ORD-006093,2023-06-25,CUST-00446,18.0,Male,Consumer,South,Greenville,Apparel,Jackets,Jackets - Model A,96.92,3,0.0,290.76,98.5
ORD-015513,2024-01-07,CUST-02002,29.0,Male,Consumer,West,Marion,Electronics,Tablets,Tablets - Model C,1192.04,1,0.0,1192.04,518.93
ORD-031039,2024-12-08,CUST-01020,46.0,Female,Consumer,North,Riverton,Home & Kitchen,Bedding,Bedding - Model B,161.4,1,0.0,161.4,45.54
ORD-039156,2025-05-29,CUST-01310,33.0,Female,Consumer,East,Clinton,Sports & Outdoors,Camping Gear,Camping Gear - Model A,341.14,2,0.2,545.82,72.1
ORD-015617,2024-01-10,CUST-00273,36.0,Male,Consumer,East,Bristol,Apparel,Women's Dresses,Women's Dresses - Model B,55.95,1,0.0,55.95,16.46
ORD-039381,2025-06-02,CUST-00766,18.0,Female,Corporate,South,Georgetown,Home & Kitchen,Small Appliances,Small Appliances - Model A,208.45,2,0.0,416.9,119.27
ORD-020495,2024-05-17,CUST-00609,18.0,Male,Consumer,West,Marion,Groceries,Household Supplies,Household Supplies - Model B,29.09,1,0.0,29.09,8.44
ORD-000527,2023-01-17,CUST-02153,26.0,Female,Consumer,South,Georgetown,Home & Kitchen,Decor,Decor - Model C,125.13,1,0.05,118.87,47.4
ORD-010926,2023-10-25,CUST-00752,34.0,Female,Corporate,East,Bristol,Sports & Outdoors,Yoga,Yoga - Model B,463.3,1,0.15,393.8,88.64
ORD-012621,2023-11-25,CUST-00733,45.0,Female,Corporate,Central,Chester,Sports & Outdoors,Camping Gear,Camping Gear - Model D,187.42,4,0.0,749.68,261.18
ORD-008157,2023-08-17,CUST-00460,37.0,Male,Small Business,Central,Franklin,Sports & Outdoors,Yoga,Yoga - Model A,177.47,3,0.0,532.41,206.45
ORD-023700,2024-07-26,CUST-01889,18.0,Female,Consumer,Central,Franklin,Beauty & Personal Care,Grooming,Grooming - Model D,117.32,1,0.0,117.32,34.98
ORD-005858,2023-06-19,CUST-00151,35.0,Male,Consumer,East,Bristol,Apparel,Jeans,Jeans - Model A,99.74,2,0.15,169.56,38.23
ORD-007406,2023-07-29,CUST-02380,36.0,Female,Consumer,East,Salem,Sports & Outdoors,Camping Gear,Camping Gear - Model D,40.72,2,0.0,81.44,29.75
ORD-032595,2024-12-30,CUST-02221,39.0,Female,Consumer,East,Salem,Sports & Outdoors,Yoga,Yoga - Model A,115.13,1,0.0,115.13,33.52
ORD-000235,2023-01-08,CUST-02453,45.0,Male,Corporate,East,Clinton,Apparel,Men's Shirts,Men's Shirts - Model D,46.38,1,0.05,44.06,14.9
ORD-024302,2024-08-09,CUST-02155,40.0,Male,Consumer,Central,Chester,Electronics,Smartwatches,Smartwatches - Model B,604.33,2,0.0,1208.66,361.95
ORD-012127,2023-11-17,CUST-01540,57.0,Female,Consumer,South,Madison,Electronics,Headphones,Headphones - Model B,538.45,2,0.0,1076.9,348.29
ORD-014826,2023-12-24,CUST-00458,27.0,Male,Consumer,South,Madison,Groceries,Snacks,Snacks - Model A,33.92,2,0.0,67.84,17.98
ORD-031209,2024-12-11,CUST-00406,34.0,Other,Consumer,South,Georgetown,Beauty & Personal Care,Fragrances,Fragrances - Model C,34.3,1,0.0,34.3,11.47
ORD-039216,2025-05-30,CUST-02410,31.0,Female,Consumer,East,Clinton,Apparel,Activewear,Activewear - Model A,38.12,1,0.15,32.4,8.75
ORD-026076,2024-09-18,CUST-00234,53.0,Female,Consumer,Central,Franklin,Home & Kitchen,Decor,Decor - Model D,240.93,2,0.0,481.86,215.49
ORD-029532,2024-11-24,CUST-02253,46.0,Female,Consumer,West,Ashland,Apparel,Jackets,Jackets - Model D,174.58,2,0.15,296.79,95.65
ORD-005018,2023-05-29,CUST-00316,34.0,Female,Small Business,South,Madison,Beauty & Personal Care,Makeup,Makeup - Model A,84.87,2,0.15,144.28,32.45
ORD-019659,2024-04-27,CUST-02413,18.0,Female,Corporate,Central,Franklin,Home & Kitchen,Storage,Storage - Model A,38.02,1,0.0,38.02,16.03
ORD-014695,2023-12-22,CUST-00611,24.0,Female,Consumer,Central,Franklin,Beauty & Personal Care,Makeup,Makeup - Model D,51.15,2,0.0,102.3,44.86
ORD-001124,2023-02-05,CUST-00722,52.0,Male,Consumer,Central,Chester,Groceries,Organic Foods,Organic Foods - Model A,17.71,3,0.05,50.47,15.11
ORD-005113,2023-06-01,CUST-02055,42.0,Male,Small Business,South,Georgetown,Apparel,Women's Dresses,Women's Dresses - Model A,19.58,1,0.15,16.64,3.57
ORD-017479,2024-03-03,CUST-00924,30.0,Male,Corporate,West,Marion,Groceries,Household Supplies,Household Supplies - Model D,16.65,2,0.0,33.3,14.13
ORD-001162,2023-02-07,CUST-01805,39.0,Female,Consumer,East,Clinton,Electronics,Headphones,Headphones - Model D,508.16,1,0.0,508.16,143.12
ORD-031268,2024-12-12,CUST-00575,40.0,Female,Consumer,East,Clinton,Beauty & Personal Care,Skincare,Skincare - Model A,78.74,2,0.1,141.73,45.42
ORD-006623,2023-07-09,CUST-01401,53.0,Other,Consumer,East,Salem,Electronics,Tablets,Tablets - Model C,1072.9,1,0.05,1019.26,385.35
ORD-014822,2023-12-24,CUST-00160,22.0,Female,Consumer,North,Springfield,Home & Kitchen,Storage,Storage - Model A,319.74,1,0.0,319.74,101.09
ORD-002422,2023-03-20,CUST-00983,40.0,Female,Consumer,South,Georgetown,Sports & Outdoors,Yoga,Yoga - Model C,16.27,2,0.0,32.54,11.51
ORD-037701,2025-05-01,CUST-02128,31.0,Male,Consumer,West,Marion,Electronics,Laptops,Laptops - Model A,1012.94,1,0.1,911.65,202.36
ORD-020394,2024-05-15,CUST-02460,18.0,Female,Consumer,South,Georgetown,Apparel,Jeans,Jeans - Model B,80.11,2,0.0,160.22,58.08
ORD-026020,2024-09-17,CUST-01208,26.0,Female,Corporate,South,Madison,Apparel,Footwear,Footwear - Model B,149.59,1,0.0,149.59,40.55
ORD-032182,2024-12-25,CUST-01137,38.0,Female,Consumer,Central,Chester,Electronics,Cameras,Cameras - Model D,697.57,1,0.0,697.57,263.9
ORD-012301,2023-11-20,CUST-01164,18.0,Female,Consumer,North,Riverton,Sports & Outdoors,Yoga,Yoga - Model C,297.46,3,0.2,713.9,156.78
ORD-005363,2023-06-07,CUST-00594,18.0,Female,Consumer,East,Salem,Apparel,Men's Shirts,Men's Shirts - Model B,172.29,2,0.1,310.12,78.67
ORD-036346,2025-04-02,CUST-01459,61.0,Male,Consumer,West,Marion,Home & Kitchen,Bedding,Bedding - Model C,117.09,1,0.0,117.09,44.76
ORD-019577,2024-04-25,CUST-01570,18.0,Female,Small Business,North,Riverton,Electronics,Smartwatches,Smartwatches - Model D,857.71,3,0.1,2315.82,709.93
